1	0	0
21	10	1
41	20	1
61	28	3
81	38	3
101	46	3
121	58	4
141	65	5
161	78	5
181	85	6
201	92	7
221	101	7
241	108	7
261	113	8
281	121	8
301	125	9
321	129	9
341	139	9
361	155	9
381	173	10
401	189	11
421	200	11
441	212	12
461	216	12
481	225	12
501	233	14
521	250	14
541	257	14
561	265	15
581	274	15
601	281	20
621	285	16
641	297	16
661	314	17
681	310	18
701	324	18
721	337	19
741	340	19
761	351	20
781	376	21
801	574	22
821	523	21
841	375	22
861	400	23
881	403	24
901	413	24
921	421	24
941	424	27
961	440	24
981	441	25
